highway,routeable_edge_count,routeable_length_km,maxspeed_observed_count,maxspeed_observed_rate,observed_length_km,observed_length_share,min_observed_speed_kph,median_observed_speed_kph,p85_observed_speed_kph,length_weighted_mean_speed_kph,mapper_default_speed_kph,candidate_speed_kph,candidate_source_class,candidate_source_name,claim_boundary,review_note
secondary,132290,4802.103663,14053,0.106229,515.270273,0.107301,20,60,60,55.316264,40,60,public-data-derived,cached OSM maxspeed tags,OSM maxspeed evidence candidate table; not reviewed road calibration or operational speed evidence.,Candidate uses median OSM maxspeed for this class; review sparse coverage before replacing mapper defaults.
primary,94484,3863.091627,25920,0.274332,972.724692,0.2518,20,60,60,58.768445,50,60,public-data-derived,cached OSM maxspeed tags,OSM maxspeed evidence candidate table; not reviewed road calibration or operational speed evidence.,Candidate uses median OSM maxspeed for this class; review sparse coverage before replacing mapper defaults.
motorway,12652,1201.551923,12534,0.990673,1193.903776,0.993635,20,100,100,98.851986,100,100,public-data-derived,cached OSM maxspeed tags,OSM maxspeed evidence candidate table; not reviewed road calibration or operational speed evidence.,Candidate uses median OSM maxspeed for this class; review sparse coverage before replacing mapper defaults.
trunk,14785,1053.183475,9958,0.67352,733.795677,0.696741,20,80,80,75.193243,60,80,public-data-derived,cached OSM maxspeed tags,OSM maxspeed evidence candidate table; not reviewed road calibration or operational speed evidence.,Candidate uses median OSM maxspeed for this class; review sparse coverage before replacing mapper defaults.
motorway_link,12734,361.662029,6182,0.485472,182.113104,0.503545,5,50,50,46.552947,60,50,public-data-derived,cached OSM maxspeed tags,OSM maxspeed evidence candidate table; not reviewed road calibration or operational speed evidence.,Candidate uses median OSM maxspeed for this class; review sparse coverage before replacing mapper defaults.
trunk_link,13013,354.799139,1882,0.144625,48.220559,0.135909,20,40,60,45.823835,40,40,public-data-derived,cached OSM maxspeed tags,OSM maxspeed evidence candidate table; not reviewed road calibration or operational speed evidence.,Candidate uses median OSM maxspeed for this class; review sparse coverage before replacing mapper defaults.
primary_link,11062,208.667614,829,0.074941,12.821061,0.061443,10,30,50,40.46456,35,30,public-data-derived,cached OSM maxspeed tags,OSM maxspeed evidence candidate table; not reviewed road calibration or operational speed evidence.,Candidate uses median OSM maxspeed for this class; review sparse coverage before replacing mapper defaults.
secondary_link,6992,112.765844,229,0.032752,3.196979,0.028351,20,20,30,28.794184,30,20,public-data-derived,cached OSM maxspeed tags,OSM maxspeed evidence candidate table; not reviewed road calibration or operational speed evidence.,Candidate uses median OSM maxspeed for this class; review sparse coverage before replacing mapper defaults.
