highway,routeable_edge_count,routeable_length_km,lanes_observed_count,lanes_observed_rate,observed_length_km,observed_length_share,min_observed_lanes,median_observed_lanes,p85_observed_lanes,length_weighted_mean_lanes,mapper_default_capacity_veh_per_hr,candidate_capacity_per_lane_veh_per_hr,candidate_capacity_veh_per_hr,candidate_source_class,candidate_source_name,claim_boundary,review_note
secondary,132290,4802.103663,30936,0.23385,1071.216,0.223072,1,2,4,2.769105,1000,800,1600,public-data-derived,cached OSM observed median lanes x KOTI HCM per-lane proxy,"OSM lane-count capacity candidate table; not reviewed road calibration, traffic counts, or operational capacity evidence.",Candidate uses the median observed OSM lane count times a KOTI HCM signalized per-lane planning proxy; review lane-tag coverage and directional capacity assumptions before replacing mapper defaults.
primary,94484,3863.091627,38332,0.405698,1466.228283,0.379548,1,2,4,2.938615,1300,900,1800,public-data-derived,cached OSM observed median lanes x KOTI HCM per-lane proxy,"OSM lane-count capacity candidate table; not reviewed road calibration, traffic counts, or operational capacity evidence.",Candidate uses the median observed OSM lane count times a KOTI HCM signalized per-lane planning proxy; review lane-tag coverage and directional capacity assumptions before replacing mapper defaults.
motorway,12652,1201.551923,12596,0.995574,1200.511702,0.999134,1,2,3,2.349525,2100,1800,3600,public-data-derived,cached OSM observed median lanes x KOTI HCM per-lane proxy,"OSM lane-count capacity candidate table; not reviewed road calibration, traffic counts, or operational capacity evidence.",Candidate uses the median observed OSM lane count times a KOTI HCM signalized per-lane planning proxy; review lane-tag coverage and directional capacity assumptions before replacing mapper defaults.
trunk,14785,1053.183475,8354,0.565032,596.196295,0.56609,1,2,4,2.74907,1700,1000,2000,public-data-derived,cached OSM observed median lanes x KOTI HCM per-lane proxy,"OSM lane-count capacity candidate table; not reviewed road calibration, traffic counts, or operational capacity evidence.",Candidate uses the median observed OSM lane count times a KOTI HCM signalized per-lane planning proxy; review lane-tag coverage and directional capacity assumptions before replacing mapper defaults.
motorway_link,12734,361.662029,4102,0.32213,114.033832,0.315305,1,1,2,1.312516,1200,900,900,public-data-derived,cached OSM observed median lanes x KOTI HCM per-lane proxy,"OSM lane-count capacity candidate table; not reviewed road calibration, traffic counts, or operational capacity evidence.",Candidate uses the median observed OSM lane count times a KOTI HCM signalized per-lane planning proxy; review lane-tag coverage and directional capacity assumptions before replacing mapper defaults.
trunk_link,13013,354.799139,2945,0.226312,79.249336,0.223364,1,1,2,1.234076,900,600,600,public-data-derived,cached OSM observed median lanes x KOTI HCM per-lane proxy,"OSM lane-count capacity candidate table; not reviewed road calibration, traffic counts, or operational capacity evidence.",Candidate uses the median observed OSM lane count times a KOTI HCM signalized per-lane planning proxy; review lane-tag coverage and directional capacity assumptions before replacing mapper defaults.
primary_link,11062,208.667614,2475,0.223739,41.346306,0.198144,1,1,2,1.428531,750,540,540,public-data-derived,cached OSM observed median lanes x KOTI HCM per-lane proxy,"OSM lane-count capacity candidate table; not reviewed road calibration, traffic counts, or operational capacity evidence.",Candidate uses the median observed OSM lane count times a KOTI HCM signalized per-lane planning proxy; review lane-tag coverage and directional capacity assumptions before replacing mapper defaults.
secondary_link,6992,112.765844,1424,0.203661,19.929045,0.176729,1,1,1,1.164584,600,480,480,public-data-derived,cached OSM observed median lanes x KOTI HCM per-lane proxy,"OSM lane-count capacity candidate table; not reviewed road calibration, traffic counts, or operational capacity evidence.",Candidate uses the median observed OSM lane count times a KOTI HCM signalized per-lane planning proxy; review lane-tag coverage and directional capacity assumptions before replacing mapper defaults.
