sigma,policy,s,p_fail_scale,network_variant,failure_mode,capacity_reduction_factor,rep,seed,bus_makespan,multi_makespan,delta_makespan,bus_penalized_makespan,multi_penalized_makespan,delta_penalized_makespan,bus_success_count,multi_success_count,bus_success_rate,multi_success_rate,delta_success_rate,bus_completion_rate,multi_completion_rate,delta_completion_rate,bus_resource_eff,multi_resource_eff,delta_resource_eff,bus_leftover,multi_leftover,bus_censored_count,multi_censored_count,bus_total_personnel,multi_total_personnel,bus_bus_trips,multi_bus_trips,bus_train_trips,multi_train_trips,bus_bus_minutes,multi_bus_minutes,bus_train_minutes,multi_train_minutes,bus_lastmile_minutes,multi_lastmile_minutes,bus_lastmile_vehicle_minutes,multi_lastmile_vehicle_minutes,bus_road_vehicle_service_minutes,multi_road_vehicle_service_minutes,delta_road_vehicle_service_minutes,bus_train_service_minutes,multi_train_service_minutes,delta_train_service_minutes,bus_total_service_minutes,multi_total_service_minutes,delta_total_service_minutes,bus_passenger_travel_minutes,multi_passenger_travel_minutes,delta_passenger_travel_minutes,bus_passengers_per_vehicle_minute,multi_passengers_per_vehicle_minute,delta_passengers_per_vehicle_minute,bus_passengers_per_total_service_minute,multi_passengers_per_total_service_minute,delta_passengers_per_total_service_minute
0.3,GRACE_W30_T0.9,1.2,1.0,baseline,blocked,,9,51,640.0617290386112,670.060423143424,-29.998694104812785,640.0617290386112,670.060423143424,-29.998694104812785,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.8686,0.9382,-0.0696,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,12.0,1151.29,354.59,0.0,480.0,0.0,231.26,0.0,231.26,1151.29,585.86,565.43,0.0,480.0,-480.0,1151.29,1065.86,85.43000000000006,50056.0,65471.0,-15415.0,0.8686,1.7069,-0.8383,0.8686,0.9382,-0.0696
0.3,GRACE_W30_T0.9,1.2,1.0,baseline,blocked,,10,52,640.0617290386112,670.060423143424,-29.998694104812785,640.0617290386112,670.060423143424,-29.998694104812785,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.8686,0.9382,-0.0696,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,12.0,1151.29,354.59,0.0,480.0,0.0,231.26,0.0,231.26,1151.29,585.86,565.43,0.0,480.0,-480.0,1151.29,1065.86,85.43000000000006,50056.0,65471.0,-15415.0,0.8686,1.7069,-0.8383,0.8686,0.9382,-0.0696
0.3,GRACE_W30_T0.9,1.2,1.0,baseline,blocked,,11,53,640.0617290386112,inf,-inf,640.0617290386112,1441440.0,-1440799.9382709614,1000.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.8686,0.0,0.8686,0.0,1000.0,0.0,1000.0,1000.0,1000.0,23.0,23.0,0.0,12.0,1151.29,354.59,0.0,480.0,0.0,0.0,0.0,0.0,1151.29,354.59,796.7,0.0,480.0,-480.0,1151.29,834.59,316.69999999999993,50056.0,55416.28,-5360.279999999999,0.8686,0.0,0.8686,0.8686,0.0,0.8686
0.3,GRACE_W30_T0.9,1.2,1.0,baseline,blocked,,12,54,640.0617290386112,inf,-inf,640.0617290386112,1441440.0,-1440799.9382709614,1000.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.8686,0.0,0.8686,0.0,1000.0,0.0,1000.0,1000.0,1000.0,23.0,0.0,0.0,0.0,1151.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1151.29,0.0,1151.29,0.0,0.0,0.0,1151.29,0.0,1151.29,50056.0,0.0,50056.0,0.8686,0.0,0.8686,0.8686,0.0,0.8686
0.3,GRACE_W30_T0.9,1.2,1.0,baseline,blocked,,13,55,640.0617290386112,670.060423143424,-29.998694104812785,640.0617290386112,670.060423143424,-29.998694104812785,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.8686,0.9382,-0.0696,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,12.0,1151.29,354.59,0.0,480.0,0.0,231.26,0.0,231.26,1151.29,585.86,565.43,0.0,480.0,-480.0,1151.29,1065.86,85.43000000000006,50056.0,65471.0,-15415.0,0.8686,1.7069,-0.8383,0.8686,0.9382,-0.0696
0.3,GRACE_W30_T0.9,1.2,1.0,baseline,blocked,,14,56,640.0617290386112,670.060423143424,-29.998694104812785,640.0617290386112,670.060423143424,-29.998694104812785,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.8686,0.9382,-0.0696,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,12.0,1151.29,354.59,0.0,480.0,0.0,231.26,0.0,231.26,1151.29,585.86,565.43,0.0,480.0,-480.0,1151.29,1065.86,85.43000000000006,50056.0,65471.0,-15415.0,0.8686,1.7069,-0.8383,0.8686,0.9382,-0.0696
0.3,GRACE_W30_T0.9,1.2,1.0,baseline,blocked,,15,57,640.0617290386112,670.060423143424,-29.998694104812785,640.0617290386112,670.060423143424,-29.998694104812785,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.8686,0.9382,-0.0696,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,12.0,1151.29,354.59,0.0,480.0,0.0,231.26,0.0,231.26,1151.29,585.86,565.43,0.0,480.0,-480.0,1151.29,1065.86,85.43000000000006,50056.0,65471.0,-15415.0,0.8686,1.7069,-0.8383,0.8686,0.9382,-0.0696
0.3,GRACE_W30_T0.9,1.2,1.0,baseline,blocked,,16,58,640.0617290386112,670.060423143424,-29.998694104812785,640.0617290386112,670.060423143424,-29.998694104812785,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.8686,0.9382,-0.0696,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,12.0,1151.29,354.59,0.0,480.0,0.0,231.26,0.0,231.26,1151.29,585.86,565.43,0.0,480.0,-480.0,1151.29,1065.86,85.43000000000006,50056.0,65471.0,-15415.0,0.8686,1.7069,-0.8383,0.8686,0.9382,-0.0696
0.3,GRACE_W30_T0.9,1.2,1.0,baseline,blocked,,17,59,640.0617290386112,670.060423143424,-29.998694104812785,640.0617290386112,670.060423143424,-29.998694104812785,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.8686,0.9382,-0.0696,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,12.0,1151.29,354.59,0.0,480.0,0.0,231.26,0.0,231.26,1151.29,585.86,565.43,0.0,480.0,-480.0,1151.29,1065.86,85.43000000000006,50056.0,65471.0,-15415.0,0.8686,1.7069,-0.8383,0.8686,0.9382,-0.0696
0.3,GRACE_W30_T0.9,1.2,1.0,baseline,blocked,,18,60,640.0617290386112,670.060423143424,-29.998694104812785,640.0617290386112,670.060423143424,-29.998694104812785,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.8686,0.9382,-0.0696,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,12.0,1151.29,354.59,0.0,480.0,0.0,231.26,0.0,231.26,1151.29,585.86,565.43,0.0,480.0,-480.0,1151.29,1065.86,85.43000000000006,50056.0,65471.0,-15415.0,0.8686,1.7069,-0.8383,0.8686,0.9382,-0.0696
