network_variant,failure_mode,capacity_reduction_factor,s,p_fail_scale,bus_makespan_mean,multi_makespan_mean,delta_mean,bus_sr_mean,multi_sr_mean,bus_leftover_mean,multi_leftover_mean,bus_penalized_makespan_mean,multi_penalized_makespan_mean,delta_penalized_makespan_mean,bus_success_count_mean,multi_success_count_mean,bus_completion_rate_mean,multi_completion_rate_mean,delta_completion_rate_mean,bus_censored_count_mean,multi_censored_count_mean,bus_resource_eff_mean,multi_resource_eff_mean,delta_resource_eff_mean,bus_total_personnel_mean,multi_total_personnel_mean,bus_bus_trips_mean,multi_bus_trips_mean,bus_train_trips_mean,multi_train_trips_mean,bus_bus_minutes_mean,multi_bus_minutes_mean,bus_train_minutes_mean,multi_train_minutes_mean,bus_lastmile_minutes_mean,multi_lastmile_minutes_mean,bus_lastmile_vehicle_minutes_mean,multi_lastmile_vehicle_minutes_mean,bus_road_vehicle_service_minutes_mean,multi_road_vehicle_service_minutes_mean,bus_train_service_minutes_mean,multi_train_service_minutes_mean,bus_total_service_minutes_mean,multi_total_service_minutes_mean,bus_passenger_travel_minutes_mean,multi_passenger_travel_minutes_mean,bus_passengers_per_vehicle_minute_mean,multi_passengers_per_vehicle_minute_mean,bus_passengers_per_total_service_minute_mean,multi_passengers_per_total_service_minute_mean,delta_std,delta_penalized_makespan_std,delta_completion_rate_std,delta_resource_eff_std,delta_road_vehicle_service_minutes_std,delta_train_service_minutes_std,delta_total_service_minutes_std,delta_passenger_travel_minutes_std,delta_passengers_per_vehicle_minute_std,delta_passengers_per_total_service_minute_std
baseline,blocked,,1.0,1.0,638.2297219868307,697.8919089067854,-59.72142175848037,0.6,0.5,400.0,500.0,576958.9378331921,721068.9459544534,-144110.00812126131,600.0,500.0,0.6,0.5,0.1,400.0,500.0,0.60352,0.45648,0.14704,1000.0,1000.0,13.8,20.7,0.0,8.1,596.5699999999999,28.071000000000005,0.0,486.0,0.0,263.256,0.0,263.256,596.5699999999999,291.32700000000006,0.0,486.0,596.5699999999999,777.327,25937.805,66666.408,0.60352,0.90388,0.60352,0.45648,2.9348434962613372,455610.94041594747,0.31622776601683794,0.30534349764741275,329.51183307196186,170.7629936490925,317.9762383173379,19705.313390029856,0.6184250268042019,0.30534349764741275
baseline,blocked,,1.0,1.5,638.895794623137,702.6757639442194,-63.5932604580158,0.4,0.3,600.0,700.0,865119.5583178492,1009218.8027291832,-144099.24441133402,400.0,300.0,0.4,0.3,0.1,600.0,700.0,0.39626,0.25589999999999996,0.14035999999999998,1000.0,1000.0,9.2,18.4,0.0,6.9,403.841,67.26,0.0,414.0,0.0,156.462,0.0,156.462,403.841,223.72200000000004,0.0,414.0,403.841,637.722,17558.3,57727.054000000004,0.39626,0.43393999999999994,0.39626,0.25589999999999996,2.8269878785565483,455614.7892549975,0.31622776601683794,0.3102721894652429,320.63101068050173,219.90907211845536,336.95181407732474,25010.06155816459,0.42820725978588137,0.3102721894652429
baseline,blocked,,1.0,2.0,640.1425403498916,705.9581041984072,-66.78025176780159,0.3,0.1,700.0,900.0,1009200.0427621051,1297366.5958104199,-288166.5530483149,300.0,100.0,0.3,0.1,0.2,700.0,900.0,0.28903,0.0813,0.20773000000000003,1000.0,1000.0,6.9,16.1,0.0,6.1,311.483,47.57600000000001,0.0,366.0,0.0,59.70399999999999,0.0,59.70399999999999,311.483,107.28000000000002,0.0,366.0,311.483,473.2800000000001,13542.747,46664.324,0.28903,0.13334,0.28903,0.0813,,607490.8376236374,0.42163702135578396,0.3964505238852497,404.2422073199295,253.69272752682525,405.28780166554344,28173.951733493537,0.43414182641671883,0.3964505238852497
baseline,blocked,,1.0,3.0,642.1118585207091,710.9581041984072,-69.5759489468885,0.2,0.1,800.0,900.0,1153280.4223717041,1297367.0958104199,-144086.6734387157,200.0,100.0,0.2,0.1,0.1,800.0,900.0,0.18462,0.0762,0.10842,1000.0,1000.0,4.6,16.1,0.0,6.1,216.714,55.81600000000001,0.0,366.0,0.0,59.70399999999999,0.0,59.70399999999999,216.714,115.52000000000002,0.0,366.0,216.714,481.5200000000001,9422.361,47022.584,0.18462,0.12014,0.18462,0.0762,,455617.6225713451,0.31622776601683794,0.2865762717943612,303.450318144869,253.69272752682525,364.53479337673963,28949.60902679998,0.3080470267129139,0.2865762717943612
baseline,blocked,,1.2,0.0,637.5242037255961,696.0349748954934,-58.510771169897225,1.0,1.0,0.0,0.0,637.5242037255961,696.0349748954934,-58.510771169897225,1000.0,1000.0,1.0,1.0,0.0,0.0,0.0,1.0223999999999998,0.9479000000000001,0.07450000000000001,1000.0,1000.0,23.0,23.0,0.0,9.0,978.0499999999998,31.190000000000005,0.0,540.0,0.0,483.8,0.0,483.8,978.0499999999998,514.99,0.0,540.0,978.0499999999998,1054.99,42524.12,82391.01,1.0223999999999998,1.9418,1.0223999999999998,0.9479000000000001,0.0,0.0,0.0,0.0,1.198364490607514e-13,0.0,0.0,7.66953273988809e-12,1.1702778228589004e-16,0.0
baseline,blocked,,1.2,0.25,637.6265880156934,697.5956751123117,-59.96908709661828,0.9,0.9,100.0,100.0,144717.86392921413,144771.83610760106,-53.97217838695646,900.0,900.0,0.9,0.9,0.0,100.0,100.0,0.91798,0.82678,0.09119999999999999,1000.0,1000.0,20.7,23.0,0.0,9.0,882.367,31.190000000000005,0.0,540.0,0.0,467.72799999999995,0.0,467.72799999999995,882.367,498.91799999999995,0.0,540.0,882.367,1038.9180000000001,38363.852,81692.14499999999,0.91798,1.64694,0.91798,0.82678,2.392298359230954,19.09754782978474,0.0,0.05321265513641153,154.65044630822547,0.0,154.6504463082255,6723.903573251101,0.3017175949644156,0.05321265513641153
baseline,blocked,,1.2,0.5,637.7000791440577,697.3417318297934,-59.6416526857359,0.7,0.7,300.0,300.0,432878.39005540067,432920.1392122808,-41.74915688001513,700.0,700.0,0.7,0.7,0.0,300.0,300.0,0.7127700000000001,0.64635,0.06642,1000.0,1000.0,16.1,20.7,0.0,8.1,687.469,28.071000000000005,0.0,486.0,0.0,359.70000000000005,0.0,359.70000000000005,687.469,387.771,0.0,486.0,687.469,873.7710000000001,29889.995000000003,70859.655,0.7127700000000001,1.2934400000000001,0.7127700000000001,0.64635,2.36785916019295,28.874453695063988,0.0,0.05879646247862196,225.7466312680853,170.7629936490925,210.13753003423474,16810.623204854062,0.422463923640561,0.05879646247862196
baseline,blocked,,1.2,1.0,638.2302321156782,697.8923333622804,-59.72134977158835,0.6,0.5,400.0,500.0,576958.9381392694,721068.9461666811,-144110.0080274117,600.0,500.0,0.6,0.5,0.1,400.0,500.0,0.60352,0.45648,0.14704,1000.0,1000.0,13.8,20.7,0.0,8.1,596.577,28.071000000000005,0.0,486.0,0.0,263.261,0.0,263.261,596.577,291.332,0.0,486.0,596.577,777.332,25938.083,66666.624,0.60352,0.90388,0.60352,0.45648,2.93489733498984,455610.940245635,0.31622776601683794,0.30534349764741275,329.5164023315919,170.7629936490925,317.980595957608,19705.391064114887,0.6184250268042019,0.30534349764741275
baseline,blocked,,1.2,1.5,638.8962918079528,702.6761793879735,-63.59317517942785,0.4,0.3,600.0,700.0,865119.5585167231,1009218.8028538164,-144099.2443370932,400.0,300.0,0.4,0.3,0.1,600.0,700.0,0.39626,0.25589999999999996,0.14035999999999998,1000.0,1000.0,9.2,18.4,0.0,6.9,403.845,67.261,0.0,414.0,0.0,156.46499999999997,0.0,156.46499999999997,403.845,223.72500000000005,0.0,414.0,403.845,637.725,17558.48,57727.225,0.39626,0.43393999999999994,0.39626,0.25589999999999996,2.8270473592700816,455614.78911011637,0.31622776601683794,0.3102721894652429,320.6337324390211,219.90907211845536,336.9539885173906,25010.1198449953,0.42820725978588137,0.3102721894652429
baseline,blocked,,1.2,2.0,640.1431295673541,705.9585883729338,-66.78022836795378,0.3,0.1,700.0,900.0,1009200.0429388704,1297366.5958588372,-288166.5529199671,300.0,100.0,0.3,0.1,0.2,700.0,900.0,0.28903,0.0813,0.20773000000000003,1000.0,1000.0,6.9,16.1,0.0,6.1,311.48699999999997,47.577000000000005,0.0,366.0,0.0,59.705,0.0,59.705,311.48699999999997,107.28100000000002,0.0,366.0,311.48699999999997,473.28099999999995,13542.905999999999,46664.409,0.28903,0.13334,0.28903,0.0813,,607490.8373592226,0.42163702135578396,0.3964505238852497,404.2482000289756,253.69272752682525,405.2926768316118,28174.028945745227,0.43414182641671883,0.3964505238852497
