s,p_fail_scale,network_variant,failure_mode,capacity_reduction_factor,rep,seed,bus_makespan,multi_makespan,delta_makespan,bus_penalized_makespan,multi_penalized_makespan,delta_penalized_makespan,bus_success_count,multi_success_count,bus_success_rate,multi_success_rate,delta_success_rate,bus_completion_rate,multi_completion_rate,delta_completion_rate,bus_resource_eff,multi_resource_eff,delta_resource_eff,bus_leftover,multi_leftover,bus_censored_count,multi_censored_count,bus_total_personnel,multi_total_personnel,bus_bus_trips,multi_bus_trips,bus_train_trips,multi_train_trips,bus_bus_minutes,multi_bus_minutes,bus_train_minutes,multi_train_minutes,bus_lastmile_minutes,multi_lastmile_minutes,bus_lastmile_vehicle_minutes,multi_lastmile_vehicle_minutes,bus_road_vehicle_service_minutes,multi_road_vehicle_service_minutes,delta_road_vehicle_service_minutes,bus_train_service_minutes,multi_train_service_minutes,delta_train_service_minutes,bus_total_service_minutes,multi_total_service_minutes,delta_total_service_minutes,bus_passenger_travel_minutes,multi_passenger_travel_minutes,delta_passenger_travel_minutes,bus_passengers_per_vehicle_minute,multi_passengers_per_vehicle_minute,delta_passengers_per_vehicle_minute,bus_passengers_per_total_service_minute,multi_passengers_per_total_service_minute,delta_passengers_per_total_service_minute,bus_arrival_q50_min,multi_arrival_q50_min,delta_arrival_q50_min,bus_arrival_q90_min,multi_arrival_q90_min,delta_arrival_q90_min,bus_arrival_q95_min,multi_arrival_q95_min,delta_arrival_q95_min,bus_prob_completion_within_window,multi_prob_completion_within_window,delta_prob_completion_within_window,origin
1.2,0.5,baseline,blocked,,0,1,634.5332786570619,701.1744686893275,-66.64119003226551,634.5332786570619,701.1744686893275,-66.64119003226551,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0998,0.8729,0.2269000000000001,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,8.0,909.26,178.65,0.0,480.0,0.0,487.01,0.0,487.01,909.26,665.66,243.60000000000002,0.0,480.0,-480.0,909.26,1145.66,-236.4000000000001,39533.18,88941.71,-49408.530000000006,1.0998,1.5023,-0.40249999999999986,1.0998,0.8729,0.2269000000000001,579.5332786570619,646.1744686893275,-66.64119003226551,620.033278657062,686.6744686893276,-66.64119003226551,629.5332786570619,696.1744686893275,-66.64119003226551,1.0,1.0,0.0,D
1.2,0.5,baseline,blocked,,1,2,636.6360353366215,701.0349748954934,-64.39893955887192,636.6360353366215,701.0349748954934,-64.39893955887192,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0442,0.8753,0.16890000000000005,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,8.0,957.63,178.65,0.0,480.0,0.0,483.8,0.0,483.8,957.63,662.45,295.17999999999995,0.0,480.0,-480.0,957.63,1142.45,-184.82000000000005,41635.93,88802.22,-47166.29,1.0442,1.5095,-0.46530000000000005,1.0442,0.8753,0.16890000000000005,581.6360353366215,646.0349748954934,-64.39893955887192,622.1360353366216,686.5349748954935,-64.39893955887192,631.6360353366215,696.0349748954934,-64.39893955887192,1.0,1.0,0.0,D
1.2,0.5,baseline,blocked,,2,3,635.5711090230952,705.9585883729338,-70.3874793498386,635.5711090230952,705.9585883729338,-70.3874793498386,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0717,0.7964,0.2753000000000001,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,8.0,933.13,178.65,0.0,480.0,0.0,597.05,0.0,597.05,933.13,775.69,157.43999999999994,0.0,480.0,-480.0,933.13,1255.69,-322.56000000000006,40571.0,93725.81,-53154.81,1.0717,1.2892,-0.2174999999999998,1.0717,0.7964,0.2753000000000001,580.5711090230952,650.9585883729338,-70.3874793498386,621.0711090230953,691.458588372934,-70.3874793498386,630.5711090230952,700.9585883729338,-70.3874793498386,1.0,1.0,0.0,D
1.2,0.5,baseline,blocked,,3,4,637.8095380717687,701.0349748954934,-63.22543682372475,637.8095380717687,701.0349748954934,-63.22543682372475,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0156,0.8753,0.1403000000000001,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,8.0,984.62,178.65,0.0,480.0,0.0,483.8,0.0,483.8,984.62,662.45,322.16999999999996,0.0,480.0,-480.0,984.62,1142.45,-157.83000000000004,42809.43,88802.22,-45992.79,1.0156,1.5095,-0.4939,1.0156,0.8753,0.1403000000000001,582.8095380717687,646.0349748954934,-63.22543682372475,623.3095380717688,686.5349748954935,-63.22543682372475,632.8095380717687,696.0349748954934,-63.22543682372475,1.0,1.0,0.0,D
1.2,0.5,baseline,blocked,,4,5,635.1703473617699,701.0349748954934,-65.86462753372348,635.1703473617699,701.0349748954934,-65.86462753372348,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0823,0.8753,0.20700000000000007,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,8.0,923.92,178.65,0.0,480.0,0.0,483.8,0.0,483.8,923.92,662.45,261.4699999999999,0.0,480.0,-480.0,923.92,1142.45,-218.5300000000001,40170.25,88802.22,-48631.97,1.0823,1.5095,-0.4272,1.0823,0.8753,0.20700000000000007,580.1703473617699,646.0349748954934,-65.86462753372348,620.67034736177,686.5349748954935,-65.86462753372348,630.1703473617699,696.0349748954934,-65.86462753372348,1.0,1.0,0.0,D
1.2,0.5,baseline,blocked,,5,6,inf,inf,,1441440.0,1441440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,23.0,0.0,8.0,0.0,178.65,0.0,480.0,0.0,0.0,0.0,0.0,0.0,178.65,-178.65,0.0,480.0,-480.0,0.0,658.65,-658.65,0.0,67767.31,-67767.31,0.0,0.0,0.0,0.0,0.0,0.0,1440.0,1440.0,0.0,1440.0,1440.0,0.0,1440.0,1440.0,0.0,0.0,0.0,0.0,D
1.2,0.5,baseline,blocked,,6,7,636.3971639700364,705.2586599581538,-68.86149598811733,636.3971639700364,705.2586599581538,-68.86149598811733,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0503,0.8067,0.24360000000000004,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,8.0,952.13,178.65,0.0,480.0,0.0,580.95,0.0,580.95,952.13,759.6,192.52999999999997,0.0,480.0,-480.0,952.13,1239.6,-287.4699999999999,41397.06,93025.89,-51628.83,1.0503,1.3165,-0.2662,1.0503,0.8067,0.24360000000000004,581.3971639700364,650.2586599581538,-68.86149598811733,621.8971639700366,690.7586599581539,-68.86149598811733,631.3971639700364,700.2586599581538,-68.86149598811733,1.0,1.0,0.0,D
1.2,0.5,baseline,blocked,,7,8,inf,inf,,1441440.0,1441440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,23.0,0.0,8.0,0.0,209.51,0.0,480.0,0.0,0.0,0.0,0.0,0.0,209.51,-209.51,0.0,480.0,-480.0,0.0,689.51,-689.51,0.0,69109.15,-69109.15,0.0,0.0,0.0,0.0,0.0,0.0,1440.0,1440.0,0.0,1440.0,1440.0,0.0,1440.0,1440.0,0.0,0.0,0.0,0.0,D
1.2,0.5,baseline,blocked,,8,9,635.1326869127546,701.0349748954934,-65.90228798273881,635.1326869127546,701.0349748954934,-65.90228798273881,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0834,0.8753,0.20809999999999995,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,8.0,923.05,178.65,0.0,480.0,0.0,483.8,0.0,483.8,923.05,662.45,260.5999999999999,0.0,480.0,-480.0,923.05,1142.45,-219.4000000000001,40132.59,88802.22,-48669.630000000005,1.0834,1.5095,-0.42610000000000015,1.0834,0.8753,0.20809999999999995,580.1326869127546,646.0349748954934,-65.90228798273881,620.6326869127547,686.5349748954935,-65.90228798273881,630.1326869127546,696.0349748954934,-65.90228798273881,1.0,1.0,0.0,D
1.2,0.5,baseline,blocked,,9,10,636.3927342358116,706.0349748954934,-69.64224065968176,636.3927342358116,706.0349748954934,-69.64224065968176,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0504,0.8228,0.22760000000000002,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,8.0,952.03,251.6,0.0,480.0,0.0,483.8,0.0,483.8,952.03,735.4,216.63,0.0,480.0,-480.0,952.03,1215.4,-263.3700000000001,41392.63,91973.93,-50581.299999999996,1.0504,1.3598,-0.3093999999999999,1.0504,0.8228,0.22760000000000002,581.3927342358116,651.0349489585966,-69.64221472278496,621.8927342358118,691.5349748954935,-69.64224065968176,631.3927342358116,701.0349748954934,-69.64224065968176,1.0,1.0,0.0,D
